City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Foumban,CM,2022-05-14 16:27:51,5.7291,10.9001,73.76,77,37,3.31
252,Caravelas,BR,2022-05-14 16:27:51,-17.7125,-39.2481,76.66,80,100,10.27
253,Ugoofaaru,MV,2022-05-14 16:27:52,5.6667,73.0,80.37,83,100,15.21
254,Pevek,RU,2022-05-14 16:27:53,69.7008,170.3133,33.19,90,100,13.62
255,Tezu,IN,2022-05-14 16:27:54,27.9167,96.1667,71.69,97,100,3.89
256,Grindavik,IS,2022-05-14 16:27:54,63.8424,-22.4338,46.35,81,100,16.11
257,Hambantota,LK,2022-05-14 16:27:55,6.1241,81.1185,78.46,90,100,24.96
258,Tarauaca,BR,2022-05-14 16:27:56,-8.1614,-70.7656,89.46,54,97,2.46
259,Riyadh,SA,2022-05-14 16:27:56,24.6877,46.7219,87.94,5,0,16.22
260,Lima,PE,2022-05-14 16:23:16,-12.0432,-77.0282,71.91,70,100,4.61
261,Evanston,US,2022-05-14 16:27:58,42.0411,-87.6901,82.47,54,75,6.91
262,Jiaozuo,CN,2022-05-14 16:27:58,35.2397,113.2331,59.02,44,26,4.14
263,Hofn,IS,2022-05-14 16:27:59,64.2539,-15.2082,38.75,93,100,13.78
264,Baghdad,IQ,2022-05-14 16:28:00,33.3406,44.4009,89.51,10,1,11.5
265,Nuuk,GL,2022-05-14 16:28:00,64.1835,-51.7216,27.21,68,100,4.61
266,Jaegerspris,DK,2022-05-14 16:28:02,55.8554,11.9679,59.27,65,36,15.01
267,Yichang,CN,2022-05-14 16:28:02,30.7144,111.2847,56.07,92,100,2.98
268,Basco,PH,2022-05-14 16:28:03,20.4487,121.9702,82.33,77,77,4.16
269,Buncrana,IE,2022-05-14 16:28:04,55.1333,-7.45,58.77,66,77,3.83
270,Pochutla,MX,2022-05-14 16:28:05,15.7432,-96.4661,89.82,48,96,6.24
271,Stillwater,US,2022-05-14 16:28:10,36.1156,-97.0584,83.55,67,0,9.22
272,Clarence Town,AU,2022-05-14 16:28:11,-32.5833,151.7833,65.8,96,4,2.62
273,Ilulissat,GL,2022-05-14 16:28:12,69.2167,-51.1,26.62,63,20,3.44
274,Sao Joao Da Barra,BR,2022-05-14 16:28:12,-21.6403,-41.0511,80.69,68,19,11.77
275,Mahebourg,MU,2022-05-14 16:28:13,-20.4081,57.7,75.49,73,75,6.91
276,Polonnaruwa,LK,2022-05-14 16:28:14,7.9333,81.0,81.61,70,100,14.52
277,Warrnambool,AU,2022-05-14 16:28:15,-38.3833,142.4833,57.81,90,0,13.02
278,San Jose,US,2022-05-14 16:21:40,37.3394,-121.895,70.83,69,0,5.01
279,Jhang,PK,2022-05-14 16:28:16,33.6748,72.6963,93.61,6,1,6.04
280,Luanda,AO,2022-05-14 16:25:11,-8.8368,13.2343,80.6,78,20,10.36
281,Lavrentiya,RU,2022-05-14 16:28:17,65.5833,-171.0,24.57,92,40,3.78
282,Krasnoselkup,RU,2022-05-14 16:26:07,65.7,82.4667,50.2,81,60,11.54
283,Poum,NC,2022-05-14 16:28:18,-20.2333,164.0167,76.41,76,61,16.55
284,Serov,RU,2022-05-14 16:28:19,59.6033,60.5787,48.15,83,100,8.95
285,Chapais,CA,2022-05-14 16:28:19,49.7834,-74.8492,64.18,57,80,5.37
286,Sungairaya,ID,2022-05-14 16:28:20,0.7,108.9,80.51,79,45,4.34
287,Humaita,BR,2022-05-14 16:28:21,-7.5061,-63.0208,88.11,66,82,3.02
288,Santa Cruz,BO,2022-05-14 16:28:22,-17.8,-63.1667,80.06,57,75,6.91
289,Tabuk,PH,2022-05-14 16:28:04,17.4189,121.4443,73.83,94,100,3.15
290,Saint-Augustin,CA,2022-05-14 16:28:23,51.226,-58.6502,47.55,71,89,5.19
291,Cubuk,TR,2022-05-14 16:28:24,40.2386,33.0322,74.8,21,40,8.05
292,Kaitangata,NZ,2022-05-14 16:28:24,-46.2817,169.8464,43.83,86,100,0.94
293,Yuzhno-Kurilsk,RU,2022-05-14 16:28:25,44.0306,145.8556,44.35,80,100,5.66
